VariableName,Weight
kw_avg_avg,532.2741643
is_weekend,357.4197908
self_reference_avg_sharess,247.8899924
kw_max_avg,247.5346541
timedelta,200.9677597
data_channel_is_entertainment,189.0329256
self_reference_min_shares,178.1728068
LDA_04,150.1439168
data_channel_is_socmed,130.1697996
time,129.4840187
data_channel_is_tech,106.6961949
data_channel_is_world,89.16695587
n_non_stop_unique_tokens,53.43595475
LDA_00,51.57202877
n_unique_tokens,51.40835462
LDA_02,32.05317517
min_positive_polarity,26.63184363
kw_min_avg,20.80763231
num_imgs,20.06623258
LDA_03,16.06107654
num_hrefs,15.16895244
kw_max_min,14.07526072
month.Mar,10.80049782
LDA_01,10.28719776
global_subjectivity,8.731551295
kw_avg_max,8.594709392
rate_negative_words,7.119365454
month.Sep,5.504257222
n_tokens_content,5.501647436
global_rate_positive_words,5.437813803
n_non_stop_words,5.314639303
month.Apr,5.26758209
weekday_is_wednesday,4.350785579
self_reference_max_shares,3.36439397
avg_positive_polarity,2.153570861
average_token_length,2.044948845
global_sentiment_polarity,1.252148618
global_rate_negative_words,0.983782366
avg_negative_polarity,0.615398171
kw_avg_min,0.43962183
max_positive_polarity,0.323282648
max_negative_polarity,0.28601031
n_tokens_title,0.052144532
num_self_hrefs,0
num_videos,0
num_keywords,0
data_channel_is_lifestyle,0
data_channel_is_bus,0
kw_min_min,0
kw_min_max,0
kw_max_max,0
weekday_is_monday,0
weekday_is_tuesday,0
weekday_is_thursday,0
weekday_is_friday,0
weekday_is_saturday,0
weekday_is_sunday,0
rate_positive_words,0
min_negative_polarity,0
title_subjectivity,0
title_sentiment_polarity,0
abs_title_subjectivity,0
abs_title_sentiment_polarity,0
urlLength,0
year.2013,0
year.2014,0
month.Jan,0
month.Feb,0
month.May,0
month.Jun,0
month.Jul,0
month.Aug,0
month.Oct,0
month.Nov,0
month.Dec,0
